batting_team,bowling_team,overs,current_score,wickets,runs_last5,wickets_last5,final_score
Punjab Kings,Sunrisers Hyderabad,19,178,1,30,0,185
Lucknow Super Giants,Kolkata Knight Riders,12,111,3,34,3,188
Lucknow Super Giants,Chennai Super Kings,5,36,0,33,0,150
Gujarat Titans,Delhi Capitals,17,136,3,75,1,141
Rajasthan Royals,Chennai Super Kings,7,50,0,28,0,166
Royal Challengers Bangalore,Lucknow Super Giants,15,158,1,51,1,210
Rajasthan Royals,Sunrisers Hyderabad,8,53,1,23,0,114
Rajasthan Royals,Royal Challengers Bangalore,10,82,1,37,1,154
Sunrisers Hyderabad,Gujarat Titans,11,76,1,45,1,118
Sunrisers Hyderabad,Chennai Super Kings,9,61,1,32,1,136
Chennai Super Kings,Punjab Kings,14,99,0,35,0,137
Royal Challengers Bangalore,Punjab Kings,7,55,0,50,0,174
Lucknow Super Giants,Sunrisers Hyderabad,8,57,2,38,0,154
Lucknow Super Giants,Mumbai Indians,9,75,0,63,0,142
Delhi Capitals,Punjab Kings,12,110,1,60,0,175
Delhi Capitals,Royal Challengers Bangalore,18,128,2,73,0,150
Kolkata Knight Riders,Punjab Kings,19,171,1,66,0,187
Royal Challengers Bangalore,Mumbai Indians,6,53,0,31,0,181
Sunrisers Hyderabad,Rajasthan Royals,16,136,1,35,0,163
Mumbai Indians,Royal Challengers Bangalore,8,65,0,58,0,174
Sunrisers Hyderabad,Punjab Kings,5,27,0,33,0,126
Chennai Super Kings,Punjab Kings,7,61,0,33,0,127
Punjab Kings,Sunrisers Hyderabad,16,129,1,63,1,153
Kolkata Knight Riders,Chennai Super Kings,17,142,1,49,1,151
Rajasthan Royals,Chennai Super Kings,8,61,1,49,1,155
Punjab Kings,Gujarat Titans,11,99,2,42,0,184
Punjab Kings,Rajasthan Royals,6,39,0,47,0,139
Chennai Super Kings,Gujarat Titans,10,93,0,71,0,185
Chennai Super Kings,Lucknow Super Giants,9,74,1,33,0,151
Kolkata Knight Riders,Gujarat Titans,10,91,2,60,1,194
Gujarat Titans,Mumbai Indians,7,53,0,67,0,185
Punjab Kings,Kolkata Knight Riders,17,90,1,42,1,119
Rajasthan Royals,Lucknow Super Giants,8,63,2,61,1,180
Chennai Super Kings,Gujarat Titans,12,108,1,38,1,157
Lucknow Super Giants,Delhi Capitals,10,66,1,21,1,113
Lucknow Super Giants,Punjab Kings,17,120,2,56,0,137
Royal Challengers Bangalore,Punjab Kings,12,79,1,23,1,137
Delhi Capitals,Rajasthan Royals,14,112,0,37,0,159
Punjab Kings,Kolkata Knight Riders,19,129,4,32,0,134
Rajasthan Royals,Kolkata Knight Riders,8,79,0,43,0,179
Delhi Capitals,Kolkata Knight Riders,11,100,0,27,0,176
Lucknow Super Giants,Gujarat Titans,9,84,1,59,1,205
Punjab Kings,Royal Challengers Bangalore,9,74,1,42,0,189
Mumbai Indians,Chennai Super Kings,15,135,1,31,0,178
Chennai Super Kings,Royal Challengers Bangalore,5,46,1,68,0,173
Mumbai Indians,Royal Challengers Bangalore,7,41,0,35,0,135
Royal Challengers Bangalore,Punjab Kings,10,76,3,42,0,143
Delhi Capitals,Punjab Kings,16,144,2,46,1,172
Kolkata Knight Riders,Gujarat Titans,14,102,1,32,0,156
Gujarat Titans,Punjab Kings,15,115,2,27,1,145
Kolkata Knight Riders,Chennai Super Kings,5,62,1,44,0,221
Sunrisers Hyderabad,Rajasthan Royals,8,65,1,65,1,199
Punjab Kings,Sunrisers Hyderabad,11,97,0,31,0,181
Rajasthan Royals,Punjab Kings,17,145,1,34,1,151
Lucknow Super Giants,Gujarat Titans,6,46,0,32,0,147
Chennai Super Kings,Sunrisers Hyderabad,18,105,3,66,0,110
Gujarat Titans,Royal Challengers Bangalore,12,118,5,50,1,205
Royal Challengers Bangalore,Punjab Kings,17,136,0,28,0,162
Kolkata Knight Riders,Lucknow Super Giants,17,132,3,61,0,145
Delhi Capitals,Gujarat Titans,9,62,1,34,0,143
Rajasthan Royals,Chennai Super Kings,10,90,0,43,0,145
Mumbai Indians,Lucknow Super Giants,8,91,1,35,1,211
Lucknow Super Giants,Punjab Kings,14,100,1,46,1,146
Chennai Super Kings,Mumbai Indians,13,90,1,47,0,125
Delhi Capitals,Kolkata Knight Riders,5,38,0,37,0,140
Mumbai Indians,Royal Challengers Bangalore,8,72,0,32,0,186
Delhi Capitals,Royal Challengers Bangalore,10,85,1,57,1,177
Kolkata Knight Riders,Royal Challengers Bangalore,14,87,2,49,1,92
Delhi Capitals,Chennai Super Kings,18,147,2,51,0,164
Mumbai Indians,Chennai Super Kings,9,69,2,52,1,129
Delhi Capitals,Kolkata Knight Riders,14,149,0,27,0,215
Lucknow Super Giants,Kolkata Knight Riders,10,96,1,26,0,173
Mumbai Indians,Royal Challengers Bangalore,5,35,1,33,1,211
Kolkata Knight Riders,Delhi Capitals,6,49,0,53,0,178
Chennai Super Kings,Royal Challengers Bangalore,16,133,0,61,0,180
Chennai Super Kings,Royal Challengers Bangalore,16,121,4,50,1,150
Rajasthan Royals,Mumbai Indians,8,62,0,63,0,175
Lucknow Super Giants,Punjab Kings,11,75,4,48,0,153
Sunrisers Hyderabad,Delhi Capitals,8,65,0,37,0,161
Mumbai Indians,Kolkata Knight Riders,11,111,1,44,1,250
Kolkata Knight Riders,Mumbai Indians,15,144,1,65,1,223
Punjab Kings,Royal Challengers Bangalore,13,102,0,47,0,178
Lucknow Super Giants,Gujarat Titans,17,114,2,54,0,119
Sunrisers Hyderabad,Kolkata Knight Riders,11,85,2,29,0,158
Mumbai Indians,Delhi Capitals,7,72,0,40,0,210
Sunrisers Hyderabad,Punjab Kings,7,53,0,53,0,154
Punjab Kings,Delhi Capitals,11,70,0,62,0,117
Kolkata Knight Riders,Gujarat Titans,17,153,4,66,2,169
Lucknow Super Giants,Rajasthan Royals,15,140,2,55,0,186
Delhi Capitals,Royal Challengers Bangalore,11,88,0,29,0,157
Lucknow Super Giants,Kolkata Knight Riders,14,77,0,28,0,110
Rajasthan Royals,Kolkata Knight Riders,16,167,2,33,0,204
Royal Challengers Bangalore,Chennai Super Kings,19,96,3,50,0,112
Royal Challengers Bangalore,Chennai Super Kings,6,57,0,32,0,186
Kolkata Knight Riders,Chennai Super Kings,12,118,2,57,0,207
Punjab Kings,Sunrisers Hyderabad,13,120,2,34,1,162
Mumbai Indians,Punjab Kings,13,89,0,61,0,141
Lucknow Super Giants,Punjab Kings,5,40,0,61,0,163
Chennai Super Kings,Sunrisers Hyderabad,11,105,2,48,0,214
Lucknow Super Giants,Punjab Kings,13,66,0,33,0,112
Royal Challengers Bangalore,Sunrisers Hyderabad,18,157,2,21,0,190
Sunrisers Hyderabad,Lucknow Super Giants,14,119,1,42,0,160
Lucknow Super Giants,Punjab Kings,7,58,1,30,1,191
Punjab Kings,Chennai Super Kings,13,126,1,52,0,212
Delhi Capitals,Lucknow Super Giants,16,95,3,36,0,121
Delhi Capitals,Punjab Kings,14,113,1,28,0,170
Delhi Capitals,Kolkata Knight Riders,13,126,1,49,1,195
Royal Challengers Bangalore,Rajasthan Royals,17,159,2,28,1,188
Lucknow Super Giants,Delhi Capitals,16,170,2,46,2,205
Rajasthan Royals,Punjab Kings,19,134,0,24,0,157
Royal Challengers Bangalore,Punjab Kings,15,120,0,47,0,177
Royal Challengers Bangalore,Lucknow Super Giants,15,93,0,26,0,135
Gujarat Titans,Kolkata Knight Riders,13,80,3,47,1,103
Sunrisers Hyderabad,Delhi Capitals,19,183,1,63,0,202
Mumbai Indians,Sunrisers Hyderabad,12,97,0,53,0,155
Kolkata Knight Riders,Gujarat Titans,13,101,0,59,0,154
Mumbai Indians,Punjab Kings,14,90,1,67,0,141
Rajasthan Royals,Lucknow Super Giants,14,116,3,71,0,161
Mumbai Indians,Sunrisers Hyderabad,17,116,0,25,0,130
Punjab Kings,Lucknow Super Giants,5,59,1,35,0,216
Chennai Super Kings,Sunrisers Hyderabad,6,33,1,47,1,156
Sunrisers Hyderabad,Punjab Kings,13,86,0,21,0,149
Kolkata Knight Riders,Rajasthan Royals,5,41,0,33,0,149
Rajasthan Royals,Mumbai Indians,19,165,0,56,0,170
Punjab Kings,Chennai Super Kings,7,66,0,49,0,213
Kolkata Knight Riders,Sunrisers Hyderabad,11,79,1,33,1,157
Delhi Capitals,Kolkata Knight Riders,12,111,0,66,0,180
Sunrisers Hyderabad,Gujarat Titans,8,53,1,55,0,162
Royal Challengers Bangalore,Sunrisers Hyderabad,5,30,0,36,0,172
Royal Challengers Bangalore,Punjab Kings,8,61,0,33,0,182
Gujarat Titans,Mumbai Indians,13,68,3,41,1,124
Mumbai Indians,Delhi Capitals,13,119,1,65,0,167
Mumbai Indians,Kolkata Knight Riders,19,128,4,74,0,133
Kolkata Knight Riders,Punjab Kings,15,126,5,27,0,169
Royal Challengers Bangalore,Punjab Kings,5,42,0,19,0,158
Rajasthan Royals,Lucknow Super Giants,9,72,0,18,0,188
Chennai Super Kings,Rajasthan Royals,15,112,3,47,2,155
Delhi Capitals,Kolkata Knight Riders,5,42,0,58,0,194
Gujarat Titans,Delhi Capitals,11,101,2,46,2,193
Sunrisers Hyderabad,Punjab Kings,9,60,0,68,0,156
Mumbai Indians,Kolkata Knight Riders,14,82,0,34,0,105
Mumbai Indians,Sunrisers Hyderabad,5,40,0,53,0,212
Gujarat Titans,Punjab Kings,9,57,0,54,0,158
Lucknow Super Giants,Sunrisers Hyderabad,15,120,2,32,2,133
Kolkata Knight Riders,Royal Challengers Bangalore,10,64,1,47,1,137
Kolkata Knight Riders,Gujarat Titans,9,85,1,68,0,208
Lucknow Super Giants,Mumbai Indians,13,128,0,71,0,179
Royal Challengers Bangalore,Punjab Kings,6,42,2,36,0,139
Gujarat Titans,Kolkata Knight Riders,18,159,0,61,0,166
Delhi Capitals,Chennai Super Kings,5,29,0,44,0,130
Mumbai Indians,Chennai Super Kings,18,132,0,60,0,163
Delhi Capitals,Gujarat Titans,18,117,3,70,2,134
Rajasthan Royals,Gujarat Titans,5,50,0,33,0,177
Chennai Super Kings,Royal Challengers Bangalore,14,88,3,52,0,129
Delhi Capitals,Sunrisers Hyderabad,13,99,3,51,1,148
Royal Challengers Bangalore,Rajasthan Royals,17,122,0,70,0,127
Gujarat Titans,Sunrisers Hyderabad,13,94,2,29,0,137
Royal Challengers Bangalore,Punjab Kings,16,118,1,38,0,151
Lucknow Super Giants,Mumbai Indians,5,33,0,48,0,138
Kolkata Knight Riders,Chennai Super Kings,12,96,1,57,1,174
Kolkata Knight Riders,Sunrisers Hyderabad,19,163,1,28,0,175
Rajasthan Royals,Mumbai Indians,19,153,2,60,1,174
Kolkata Knight Riders,Lucknow Super Giants,17,133,3,65,0,150
Lucknow Super Giants,Royal Challengers Bangalore,7,74,1,43,0,228
Gujarat Titans,Mumbai Indians,5,33,0,53,0,175
Delhi Capitals,Rajasthan Royals,7,51,1,16,0,162
Lucknow Super Giants,Rajasthan Royals,16,98,4,66,0,125
Chennai Super Kings,Rajasthan Royals,7,62,0,42,0,177
Chennai Super Kings,Lucknow Super Giants,17,98,0,37,0,107
Mumbai Indians,Chennai Super Kings,19,135,3,59,1,146
Kolkata Knight Riders,Sunrisers Hyderabad,6,46,0,57,0,226
Lucknow Super Giants,Punjab Kings,9,86,1,51,0,189
Mumbai Indians,Lucknow Super Giants,6,65,0,62,0,182
Gujarat Titans,Rajasthan Royals,7,47,0,32,0,140
Royal Challengers Bangalore,Rajasthan Royals,8,82,2,22,2,211
Rajasthan Royals,Punjab Kings,7,59,1,44,0,196
Sunrisers Hyderabad,Royal Challengers Bangalore,13,115,1,68,1,202
Delhi Capitals,Chennai Super Kings,7,56,0,63,0,148
Delhi Capitals,Lucknow Super Giants,8,83,1,64,1,208
Chennai Super Kings,Lucknow Super Giants,13,108,3,63,1,142
Punjab Kings,Royal Challengers Bangalore,11,81,0,55,0,165
Delhi Capitals,Mumbai Indians,18,158,3,49,0,165
Gujarat Titans,Sunrisers Hyderabad,5,35,0,51,0,147
Royal Challengers Bangalore,Mumbai Indians,14,113,4,39,0,148
Kolkata Knight Riders,Punjab Kings,14,121,1,37,0,146
Gujarat Titans,Chennai Super Kings,15,101,1,24,1,133
Chennai Super Kings,Kolkata Knight Riders,5,39,1,57,0,173
Delhi Capitals,Lucknow Super Giants,13,104,1,30,1,160
Lucknow Super Giants,Mumbai Indians,13,127,0,29,0,184
Gujarat Titans,Kolkata Knight Riders,10,63,0,31,0,160
Punjab Kings,Lucknow Super Giants,11,92,0,51,0,160
Royal Challengers Bangalore,Punjab Kings,8,81,1,49,0,210
Punjab Kings,Rajasthan Royals,14,124,3,26,0,167
Punjab Kings,Rajasthan Royals,5,43,0,49,0,150
Lucknow Super Giants,Gujarat Titans,7,65,1,36,0,201
Mumbai Indians,Kolkata Knight Riders,6,58,0,38,0,159
Lucknow Super Giants,Delhi Capitals,13,102,1,34,0,163
Sunrisers Hyderabad,Kolkata Knight Riders,6,37,0,41,0,126
Kolkata Knight Riders,Punjab Kings,15,137,2,60,0,200
Kolkata Knight Riders,Punjab Kings,18,167,1,50,0,175
Punjab Kings,Delhi Capitals,17,138,0,32,0,167
Kolkata Knight Riders,Sunrisers Hyderabad,19,124,0,64,0,129
Sunrisers Hyderabad,Gujarat Titans,14,92,2,56,0,124
Gujarat Titans,Punjab Kings,12,80,3,66,0,124
Punjab Kings,Royal Challengers Bangalore,17,116,2,38,0,126
Lucknow Super Giants,Mumbai Indians,10,80,0,60,0,167
Royal Challengers Bangalore,Mumbai Indians,17,150,1,58,1,172
Royal Challengers Bangalore,Sunrisers Hyderabad,10,63,1,61,0,120
Rajasthan Royals,Delhi Capitals,7,58,1,23,0,132
Rajasthan Royals,Gujarat Titans,13,80,0,20,0,128
Royal Challengers Bangalore,Lucknow Super Giants,15,106,2,49,1,144
Rajasthan Royals,Sunrisers Hyderabad,12,103,2,67,1,171
Gujarat Titans,Chennai Super Kings,10,69,0,37,0,129
Punjab Kings,Mumbai Indians,19,139,4,41,3,156
Royal Challengers Bangalore,Rajasthan Royals,12,88,3,34,2,136
Delhi Capitals,Sunrisers Hyderabad,8,61,0,23,0,171
Lucknow Super Giants,Kolkata Knight Riders,16,116,2,27,1,155
Punjab Kings,Gujarat Titans,19,125,3,46,0,130
Mumbai Indians,Chennai Super Kings,19,143,4,29,0,159
Royal Challengers Bangalore,Punjab Kings,6,44,0,34,0,162
Kolkata Knight Riders,Royal Challengers Bangalore,7,55,0,43,0,176
Royal Challengers Bangalore,Kolkata Knight Riders,19,108,2,34,0,113
Gujarat Titans,Royal Challengers Bangalore,15,136,2,38,1,177
Gujarat Titans,Delhi Capitals,5,31,0,72,0,139
Punjab Kings,Royal Challengers Bangalore,14,116,2,47,1,159
Royal Challengers Bangalore,Sunrisers Hyderabad,10,69,1,47,1,122
Royal Challengers Bangalore,Punjab Kings,15,105,1,32,1,165
Lucknow Super Giants,Delhi Capitals,5,20,1,42,1,108
Rajasthan Royals,Mumbai Indians,13,108,3,45,1,171
Royal Challengers Bangalore,Mumbai Indians,14,87,1,41,1,130
Gujarat Titans,Chennai Super Kings,14,116,3,61,1,166
Punjab Kings,Chennai Super Kings,15,144,3,59,2,188
Punjab Kings,Chennai Super Kings,18,186,0,38,0,192
Delhi Capitals,Gujarat Titans,6,39,1,64,0,129
Punjab Kings,Gujarat Titans,5,24,0,39,0,104
Royal Challengers Bangalore,Mumbai Indians,17,172,3,38,0,213
Lucknow Super Giants,Delhi Capitals,8,71,0,44,0,175
Chennai Super Kings,Mumbai Indians,17,152,2,21,1,177
Delhi Capitals,Punjab Kings,13,96,1,61,0,143
Delhi Capitals,Rajasthan Royals,14,99,0,62,0,161
Chennai Super Kings,Rajasthan Royals,11,70,1,52,0,152
Mumbai Indians,Gujarat Titans,12,96,3,60,0,149
Rajasthan Royals,Kolkata Knight Riders,18,169,4,62,0,201
Kolkata Knight Riders,Gujarat Titans,19,122,3,41,1,133
Mumbai Indians,Kolkata Knight Riders,16,137,1,66,0,175
Sunrisers Hyderabad,Gujarat Titans,17,160,3,27,1,192
Royal Challengers Bangalore,Kolkata Knight Riders,5,41,1,31,1,150
Sunrisers Hyderabad,Royal Challengers Bangalore,14,118,0,52,0,184
Sunrisers Hyderabad,Chennai Super Kings,17,123,2,62,0,147
Royal Challengers Bangalore,Delhi Capitals,10,84,3,56,0,162
Royal Challengers Bangalore,Kolkata Knight Riders,9,59,2,30,0,169
Lucknow Super Giants,Sunrisers Hyderabad,8,82,1,40,1,203
Delhi Capitals,Sunrisers Hyderabad,12,94,3,61,0,164
Rajasthan Royals,Gujarat Titans,18,146,1,58,1,151
Royal Challengers Bangalore,Sunrisers Hyderabad,17,155,2,51,0,177
Gujarat Titans,Mumbai Indians,12,70,0,26,0,121
Gujarat Titans,Lucknow Super Giants,11,102,0,56,0,198
Kolkata Knight Riders,Royal Challengers Bangalore,17,130,1,40,0,137
Royal Challengers Bangalore,Kolkata Knight Riders,12,91,0,37,0,151
Delhi Capitals,Royal Challengers Bangalore,7,53,1,58,1,135
Kolkata Knight Riders,Lucknow Super Giants,15,131,4,40,1,143
Gujarat Titans,Delhi Capitals,5,49,0,48,0,188
Punjab Kings,Mumbai Indians,12,77,0,31,0,146
Mumbai Indians,Royal Challengers Bangalore,9,74,1,29,0,170
Mumbai Indians,Chennai Super Kings,11,81,1,55,1,126
Rajasthan Royals,Gujarat Titans,16,173,1,52,1,211
Lucknow Super Giants,Punjab Kings,10,74,1,44,0,162
Sunrisers Hyderabad,Punjab Kings,16,107,1,33,0,151
Punjab Kings,Delhi Capitals,11,84,0,34,0,137
Chennai Super Kings,Rajasthan Royals,10,66,1,28,1,135
Rajasthan Royals,Royal Challengers Bangalore,7,51,0,43,0,137
Royal Challengers Bangalore,Lucknow Super Giants,19,149,4,38,3,154
Gujarat Titans,Delhi Capitals,6,44,0,44,0,165
Royal Challengers Bangalore,Sunrisers Hyderabad,19,165,6,48,0,181
Rajasthan Royals,Delhi Capitals,7,58,1,36,1,168
Gujarat Titans,Punjab Kings,9,65,1,52,1,151
Royal Challengers Bangalore,Rajasthan Royals,15,140,3,71,0,186
Royal Challengers Bangalore,Chennai Super Kings,6,60,0,56,0,183
Kolkata Knight Riders,Chennai Super Kings,11,77,0,70,0,150
Punjab Kings,Chennai Super Kings,11,84,2,63,2,159
Gujarat Titans,Sunrisers Hyderabad,14,140,0,59,0,196
Rajasthan Royals,Gujarat Titans,16,111,1,30,0,145
Delhi Capitals,Royal Challengers Bangalore,8,49,1,59,0,147
Gujarat Titans,Sunrisers Hyderabad,17,140,0,39,0,162
Delhi Capitals,Mumbai Indians,10,84,2,48,1,143
Royal Challengers Bangalore,Chennai Super Kings,8,80,0,42,0,173
Rajasthan Royals,Gujarat Titans,14,136,0,69,0,205
Mumbai Indians,Royal Challengers Bangalore,13,126,1,51,1,214
Sunrisers Hyderabad,Delhi Capitals,9,67,2,36,0,169
Royal Challengers Bangalore,Gujarat Titans,7,55,1,66,1,133
Royal Challengers Bangalore,Gujarat Titans,11,88,1,20,1,175
Lucknow Super Giants,Gujarat Titans,15,115,1,59,1,135
Lucknow Super Giants,Delhi Capitals,19,135,2,33,1,140
Punjab Kings,Delhi Capitals,19,198,4,54,0,203
Royal Challengers Bangalore,Mumbai Indians,7,47,0,28,0,125
Rajasthan Royals,Lucknow Super Giants,14,119,2,43,1,182
Gujarat Titans,Lucknow Super Giants,19,167,3,62,1,176
Sunrisers Hyderabad,Delhi Capitals,13,119,1,51,0,188
Lucknow Super Giants,Royal Challengers Bangalore,13,110,2,69,1,178
Chennai Super Kings,Lucknow Super Giants,12,90,0,65,0,155
Gujarat Titans,Punjab Kings,11,100,0,57,0,195
Delhi Capitals,Gujarat Titans,18,106,4,44,1,111
Chennai Super Kings,Lucknow Super Giants,9,69,0,50,0,141
Sunrisers Hyderabad,Rajasthan Royals,17,141,2,30,1,169
Kolkata Knight Riders,Gujarat Titans,9,44,0,29,0,103
Lucknow Super Giants,Chennai Super Kings,18,145,1,71,1,161
Rajasthan Royals,Royal Challengers Bangalore,9,57,0,52,0,149
Mumbai Indians,Delhi Capitals,19,131,2,46,1,137
Rajasthan Royals,Chennai Super Kings,18,168,1,63,0,215
Gujarat Titans,Sunrisers Hyderabad,14,132,3,42,3,180
Lucknow Super Giants,Chennai Super Kings,13,112,1,67,0,194
Chennai Super Kings,Lucknow Super Giants,7,90,1,24,1,217
Chennai Super Kings,Sunrisers Hyderabad,15,122,1,62,1,147
Gujarat Titans,Sunrisers Hyderabad,11,97,1,39,0,186
Mumbai Indians,Kolkata Knight Riders,13,95,3,53,1,123
Mumbai Indians,Royal Challengers Bangalore,15,108,2,58,0,119
Mumbai Indians,Kolkata Knight Riders,17,94,4,47,2,116
Delhi Capitals,Punjab Kings,15,123,0,44,0,169
Kolkata Knight Riders,Lucknow Super Giants,19,153,5,27,0,158
Mumbai Indians,Lucknow Super Giants,17,131,1,30,1,156
Gujarat Titans,Kolkata Knight Riders,18,135,5,46,0,151
Gujarat Titans,Rajasthan Royals,17,165,1,33,0,189
Lucknow Super Giants,Mumbai Indians,16,152,2,37,1,159
Chennai Super Kings,Mumbai Indians,14,86,2,44,0,119
Sunrisers Hyderabad,Lucknow Super Giants,10,80,1,16,1,166
Chennai Super Kings,Rajasthan Royals,13,117,3,52,1,158
Kolkata Knight Riders,Mumbai Indians,10,65,1,63,1,146
Royal Challengers Bangalore,Sunrisers Hyderabad,16,110,6,50,0,123
Gujarat Titans,Royal Challengers Bangalore,5,51,0,54,0,158
Mumbai Indians,Royal Challengers Bangalore,14,127,1,45,1,162
Gujarat Titans,Kolkata Knight Riders,9,83,1,48,1,152
Rajasthan Royals,Lucknow Super Giants,11,52,0,41,0,117
Delhi Capitals,Lucknow Super Giants,17,117,0,26,0,138
Rajasthan Royals,Sunrisers Hyderabad,18,118,1,61,0,128
Sunrisers Hyderabad,Royal Challengers Bangalore,19,179,0,48,0,199
Gujarat Titans,Royal Challengers Bangalore,12,98,1,64,0,137
Chennai Super Kings,Rajasthan Royals,9,65,1,68,0,135
Mumbai Indians,Delhi Capitals,15,145,0,33,0,190
Punjab Kings,Delhi Capitals,16,146,0,39,0,207
Rajasthan Royals,Mumbai Indians,6,35,0,62,0,150
Kolkata Knight Riders,Sunrisers Hyderabad,19,157,3,68,0,162
Lucknow Super Giants,Royal Challengers Bangalore,14,141,0,40,0,186
Chennai Super Kings,Gujarat Titans,11,77,1,33,1,132
Punjab Kings,Sunrisers Hyderabad,15,155,2,63,0,196
Chennai Super Kings,Gujarat Titans,12,76,3,58,0,152
Kolkata Knight Riders,Delhi Capitals,15,103,1,44,1,141
Sunrisers Hyderabad,Delhi Capitals,15,133,1,45,0,181
Delhi Capitals,Sunrisers Hyderabad,8,83,1,19,0,183
Royal Challengers Bangalore,Rajasthan Royals,9,81,1,31,0,183
Lucknow Super Giants,Royal Challengers Bangalore,11,99,2,34,2,184
Delhi Capitals,Royal Challengers Bangalore,15,138,0,38,0,167
Delhi Capitals,Lucknow Super Giants,10,74,0,55,0,160
Punjab Kings,Delhi Capitals,8,63,0,56,0,145
Kolkata Knight Riders,Royal Challengers Bangalore,7,66,1,35,1,199
Gujarat Titans,Lucknow Super Giants,19,161,1,35,0,175
Punjab Kings,Kolkata Knight Riders,7,71,0,44,0,191
Sunrisers Hyderabad,Lucknow Super Giants,6,35,0,54,0,148
Chennai Super Kings,Lucknow Super Giants,10,73,1,27,1,162
Sunrisers Hyderabad,Chennai Super Kings,8,53,0,43,0,132
Lucknow Super Giants,Punjab Kings,13,96,3,53,1,167
Rajasthan Royals,Kolkata Knight Riders,8,71,0,25,0,176
Mumbai Indians,Punjab Kings,12,114,0,60,0,166
Sunrisers Hyderabad,Lucknow Super Giants,7,68,1,36,1,171
Delhi Capitals,Chennai Super Kings,12,101,0,69,0,175
Mumbai Indians,Gujarat Titans,10,96,0,28,0,196
Chennai Super Kings,Delhi Capitals,12,87,1,49,1,137
Mumbai Indians,Sunrisers Hyderabad,18,141,2,55,0,164
Sunrisers Hyderabad,Punjab Kings,9,62,1,60,0,158
Rajasthan Royals,Punjab Kings,16,126,2,24,1,139
Delhi Capitals,Kolkata Knight Riders,10,108,2,38,1,183
Rajasthan Royals,Sunrisers Hyderabad,8,40,3,49,0,127
Sunrisers Hyderabad,Gujarat Titans,15,97,1,41,1,155
Royal Challengers Bangalore,Delhi Capitals,19,168,3,27,0,173
Punjab Kings,Delhi Capitals,16,89,2,47,1,98
Delhi Capitals,Rajasthan Royals,14,139,1,25,0,203
Gujarat Titans,Rajasthan Royals,14,103,3,51,1,140
Chennai Super Kings,Mumbai Indians,9,85,1,37,1,209
Mumbai Indians,Lucknow Super Giants,9,58,3,40,0,126
Kolkata Knight Riders,Sunrisers Hyderabad,9,67,1,50,1,148
Royal Challengers Bangalore,Kolkata Knight Riders,16,127,1,37,1,134
Gujarat Titans,Rajasthan Royals,5,49,0,26,0,208
Gujarat Titans,Lucknow Super Giants,13,95,2,21,0,150
Kolkata Knight Riders,Royal Challengers Bangalore,10,86,0,31,0,162
Mumbai Indians,Gujarat Titans,11,73,0,21,0,145
Kolkata Knight Riders,Rajasthan Royals,11,82,0,63,0,130
Rajasthan Royals,Delhi Capitals,7,59,1,45,0,164
Rajasthan Royals,Sunrisers Hyderabad,13,115,0,63,0,183
Kolkata Knight Riders,Rajasthan Royals,7,46,1,36,0,145
Kolkata Knight Riders,Sunrisers Hyderabad,6,54,0,33,0,186
Royal Challengers Bangalore,Punjab Kings,6,64,0,25,0,247
Kolkata Knight Riders,Chennai Super Kings,16,107,1,42,1,159
Rajasthan Royals,Kolkata Knight Riders,19,136,3,51,0,141
Chennai Super Kings,Punjab Kings,8,78,1,29,0,163
Chennai Super Kings,Mumbai Indians,8,53,1,71,1,135
Delhi Capitals,Punjab Kings,17,128,0,36,0,133
Royal Challengers Bangalore,Chennai Super Kings,17,123,0,65,0,150
Chennai Super Kings,Punjab Kings,9,61,0,51,0,162
Rajasthan Royals,Gujarat Titans,7,79,1,63,1,209
Mumbai Indians,Rajasthan Royals,16,108,1,28,1,130
Royal Challengers Bangalore,Mumbai Indians,19,156,2,48,0,164
Kolkata Knight Riders,Gujarat Titans,10,104,2,46,1,177
Rajasthan Royals,Lucknow Super Giants,11,87,1,64,1,187
Mumbai Indians,Gujarat Titans,14,136,1,36,1,185
Mumbai Indians,Royal Challengers Bangalore,7,71,0,55,0,160
Gujarat Titans,Punjab Kings,11,95,0,61,0,182
Royal Challengers Bangalore,Chennai Super Kings,13,105,1,46,0,172
Lucknow Super Giants,Mumbai Indians,16,115,2,35,1,144
Sunrisers Hyderabad,Delhi Capitals,12,94,1,39,1,160
Rajasthan Royals,Chennai Super Kings,12,98,1,40,0,170
Delhi Capitals,Kolkata Knight Riders,13,76,3,73,2,111
Delhi Capitals,Lucknow Super Giants,13,105,1,64,0,149
Mumbai Indians,Royal Challengers Bangalore,14,98,2,62,0,131
Kolkata Knight Riders,Lucknow Super Giants,13,105,2,41,1,160
Delhi Capitals,Gujarat Titans,18,131,4,31,0,167
Royal Challengers Bangalore,Kolkata Knight Riders,5,23,0,61,0,150
Royal Challengers Bangalore,Punjab Kings,12,73,1,59,1,125
Chennai Super Kings,Delhi Capitals,13,95,0,34,0,164
Punjab Kings,Royal Challengers Bangalore,5,42,1,40,1,181
Rajasthan Royals,Mumbai Indians,10,60,2,48,1,123
Lucknow Super Giants,Rajasthan Royals,19,144,2,42,0,155
Punjab Kings,Royal Challengers Bangalore,6,55,1,46,1,194
Rajasthan Royals,Sunrisers Hyderabad,16,104,4,62,0,114
Kolkata Knight Riders,Sunrisers Hyderabad,6,38,0,38,0,149
Lucknow Super Giants,Rajasthan Royals,5,52,0,58,0,227
